Year,Month,Day,Hour,Minute,air pressure at 100m (Pa),air pressure at 40m (Pa),temperature at 120m (C),temperature at 100m (C),temperature at 80m (C),temperature at 40m (C),wind direction at 120m (deg),wind direction at 100m (deg),wind direction at 80m (deg),wind direction at 40m (deg),wind speed at 120m (m/s),wind speed at 100m (m/s),wind speed at 80m (m/s),wind speed at 40m (m/s)
2014,1,1,0,0,98390,99060,26.11,26.0,25.83,25.01,303.79,302.09,300.37,297.13,7.22,6.99,6.61,4.77
2014,1,1,0,15,98390,99070,25.73,25.65,25.51,24.77,309.29,307.74,306.25,304.77,5.32,5.06,4.72,3.33
2014,1,1,0,30,98410,99080,24.78,24.75,24.69,24.18,348.91,349.13,349.28,350.51,2.63,2.5,2.37,1.94
2014,1,1,0,45,98420,99090,23.65,23.7,23.73,23.55,52.74,49.92,46.25,31.22,3.77,3.65,3.45,2.57
2014,1,1,1,0,98410,99090,23.03,23.13,23.22,23.25,60.63,57.41,53.08,32.18,4.13,3.85,3.47,2.21
2014,1,1,1,15,98410,99090,22.84,22.93,23.03,23.12,54.52,51.39,46.39,18.27,3.88,3.51,3.06,2.01
2014,1,1,1,30,98410,99090,22.78,22.87,22.95,23.04,44.23,41.99,38.06,12.82,4.14,3.79,3.37,2.35
2014,1,1,1,45,98390,99070,22.63,22.74,22.85,22.96,33.1,33.26,32.39,15.89,4.69,4.38,4.0,2.8
2014,1,1,2,0,98390,99070,22.49,22.6,22.71,22.89,20.37,21.59,22.49,14.45,5.09,4.73,4.3,2.96
2014,1,1,2,15,98380,99060,22.57,22.61,22.66,22.8,15.88,15.95,15.96,13.79,6.13,5.72,5.21,3.63
2014,1,1,2,30,98390,99070,22.66,22.7,22.72,22.73,19.96,18.22,16.23,12.91,6.32,5.88,5.34,3.63
2014,1,1,2,45,98380,99050,22.6,22.66,22.72,22.69,25.65,22.86,19.64,11.85,6.2,5.85,5.43,3.84
2014,1,1,3,0,98370,99050,22.5,22.57,22.63,22.64,28.57,24.85,20.59,9.53,5.85,5.52,5.15,3.83
2014,1,1,3,15,98370,99050,22.41,22.49,22.57,22.63,29.66,24.65,18.9,5.14,5.33,5.02,4.69,3.57
2014,1,1,3,30,98370,99050,22.38,22.46,22.56,22.67,33.71,27.6,20.39,3.4,4.77,4.44,4.12,3.14
2014,1,1,3,45,98370,99050,22.43,22.49,22.57,22.71,38.61,32.26,24.31,5.45,4.56,4.19,3.83,2.92
2014,1,1,4,0,98360,99040,22.52,22.56,22.61,22.74,40.39,34.33,26.4,5.9,4.4,4.01,3.64,2.76
2014,1,1,4,15,98350,99030,22.61,22.64,22.69,22.79,37.4,31.91,24.59,3.92,4.43,4.09,3.75,2.94
2014,1,1,4,30,98340,99020,22.63,22.68,22.73,22.84,35.99,30.59,23.53,3.32,4.34,4.03,3.71,2.86
2014,1,1,4,45,98350,99030,22.61,22.67,22.74,22.85,40.45,35.01,28.04,9.33,4.31,3.93,3.55,2.57
2014,1,1,5,0,98680,99370,21.68,21.81,21.93,22.05,1.1,0.73,0.44,0.7,15.54,15.08,14.51,12.28
2014,1,1,5,15,98690,99370,21.66,21.8,21.92,22.04,2.2,1.9,1.68,2.05,15.5,15.01,14.42,12.14
2014,1,1,5,30,98690,99370,21.55,21.7,21.82,21.95,2.62,2.38,2.23,2.69,15.43,14.93,14.34,12.04
2014,1,1,5,45,98680,99370,21.45,21.59,21.72,21.84,2.45,2.18,2.0,2.42,15.4,14.92,14.34,12.07
2014,1,1,6,0,98690,99370,21.39,21.54,21.67,21.8,2.24,1.91,1.66,1.91,15.27,14.81,14.24,12.0
2014,1,1,6,15,98700,99380,21.36,21.5,21.63,21.76,2.08,1.74,1.48,1.65,15.02,14.57,14.02,11.84
2014,1,1,6,30,98710,99390,21.35,21.5,21.64,21.82,2.26,1.91,1.63,1.76,14.87,14.44,13.9,11.78
2014,1,1,6,45,98720,99400,21.39,21.56,21.73,22.05,3.96,3.61,3.32,3.4,14.73,14.29,13.77,11.83
2014,1,1,7,0,98730,99410,21.44,21.64,21.85,22.28,4.29,3.86,3.47,3.29,14.55,14.07,13.53,11.83
2014,1,1,7,15,98740,99430,21.5,21.72,21.95,22.46,4.97,4.7,4.47,4.36,14.34,13.98,13.56,12.02
2014,1,1,7,30,98760,99440,21.56,21.8,22.03,22.6,5.77,5.57,5.38,5.29,14.16,13.86,13.5,12.1
2014,1,1,7,45,98770,99450,21.73,21.97,22.21,22.82,4.02,3.82,3.64,3.54,13.88,13.6,13.26,11.95
2014,1,1,8,0,98780,99470,22.03,22.28,22.54,23.18,4.63,4.46,4.32,4.29,13.78,13.5,13.18,11.92
2014,1,1,8,15,98800,99480,22.33,22.58,22.83,23.49,5.59,5.45,5.33,5.3,13.58,13.34,13.05,11.89
2014,1,1,8,30,98800,99480,22.64,22.89,23.16,23.83,5.78,5.65,5.54,5.5,13.14,12.93,12.67,11.62
2014,1,1,8,45,98800,99480,23.03,23.28,23.55,24.24,7.48,7.36,7.26,7.25,12.92,12.72,12.48,11.49
2014,1,1,9,0,98810,99490,23.36,23.61,23.88,24.58,9.61,9.48,9.37,9.28,12.59,12.42,12.21,11.31
2014,1,1,9,15,98820,99500,23.68,23.93,24.2,24.91,11.86,11.76,11.66,11.6,12.27,12.11,11.91,11.07
2014,1,1,9,30,98820,99500,23.9,24.15,24.43,25.15,14.4,14.33,14.27,14.25,12.36,12.21,12.03,11.22
2014,1,1,9,45,98820,99500,24.07,24.33,24.6,25.34,16.26,16.21,16.17,16.19,12.59,12.44,12.26,11.45
2014,1,1,10,0,98810,99490,24.31,24.57,24.84,25.58,15.52,15.49,15.45,15.48,12.53,12.38,12.2,11.41
2014,1,1,10,15,98800,99480,24.59,24.85,25.13,25.87,14.74,14.68,14.63,14.61,12.42,12.27,12.09,11.32
2014,1,1,10,30,98800,99470,24.88,25.15,25.42,26.17,14.87,14.79,14.72,14.65,12.19,12.05,11.88,11.13
2014,1,1,10,45,98780,99460,25.2,25.46,25.74,26.5,15.29,15.21,15.14,15.06,12.44,12.29,12.11,11.34
2014,1,1,11,0,98770,99440,25.45,25.72,26.0,26.76,14.18,14.15,14.11,14.12,12.82,12.67,12.49,11.69
2014,1,1,11,15,98740,99410,26.5,26.76,27.04,27.81,9.36,9.3,9.23,9.19,12.63,12.48,12.3,11.53
2014,1,1,11,30,98730,99400,26.55,26.82,27.1,27.87,9.24,9.2,9.16,9.16,12.88,12.73,12.55,11.75
2014,1,1,11,45,98720,99390,26.75,27.01,27.3,28.06,8.89,8.8,8.7,8.55,12.94,12.79,12.6,11.79
2014,1,1,12,0,98730,99400,27.28,27.54,27.82,28.59,12.12,11.96,11.79,11.47,12.77,12.62,12.43,11.64
2014,1,1,12,15,98730,99400,27.83,28.09,28.36,29.13,18.06,17.96,17.86,17.66,12.5,12.35,12.17,11.42
2014,1,1,12,30,98730,99390,28.15,28.4,28.68,29.44,21.68,21.63,21.58,21.53,12.24,12.1,11.93,11.21
2014,1,1,12,45,98730,99390,28.39,28.65,28.93,29.68,23.81,23.77,23.73,23.7,11.97,11.84,11.68,10.99
2014,1,1,13,0,98700,99370,28.62,28.88,29.15,29.89,25.97,25.92,25.86,25.77,11.77,11.65,11.49,10.83
2014,1,1,13,15,98690,99350,28.78,29.03,29.3,30.03,28.62,28.6,28.58,28.57,11.64,11.52,11.37,10.69
